Customer ID,Gender,Age,Married,City,Zip Code,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
0193-ESZXP,Female,73,Yes,Oceano,93445,58,None,Yes,16.94,No,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,105.5,6205.5,982.52,7188.02,Churned,Attitude,Attitude of support person
0195-IESCP,Male,26,Yes,Armona,93202.00,10,Offer D,Yes,2.02,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,85.25,855.30,20.20,975.50,Churned,Competitor,Competitor offered more data
0196-VULGZ,Female,78,Yes,Irvine,92620.00,6,None,Yes,28.71,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.35,474.90,172.26,647.16,Churned,Other,Deceased
0201-OAMXR,Female,30,No,Mckinleyville,95519.00,70,Offer A,Yes,10.21,Yes,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,115.55,8127.60,714.70,8842.30,Churned,Dissatisfaction,Network reliability
0207-MDKNV,Female,54,No,Daly City,94014.00,15,None,Yes,22.39,No,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,105.10,1582.75,335.85,1918.60,Churned,Competitor,Competitor made better offer
0219-YTZUE,Male,26,Yes,San Diego,92122.00,4,Offer E,Yes,28.77,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.80,371.90,115.08,486.98,Churned,Competitor,Competitor made better offer
0220-EBGCE,Male,58,No,Escondido,92027,2,Offer E,Yes,14.14,No,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.85,167.3,28.28,195.58,Churned,Competitor,Competitor made better offer
0224-HJAPT,Male,25,No,San Diego,92117.00,5,None,Yes,22.01,Yes,Yes,Cable,No,No,No,No,No,No,Yes,Yes,Month-to-Month,No,Bank Withdrawal,47.15,223.15,110.05,333.20,Churned,Competitor,Competitor made better offer
0231-LXVAP,Male,23,No,Temecula,92592.00,1,None,Yes,44.56,No,Yes,Fiber Optic,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.90,75.90,44.56,120.46,Churned,Competitor,Competitor made better offer
0235-KGSLC,Female,45,No,Buellton,93427.00,1,Offer E,Yes,33.34,No,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.55,85.55,33.34,118.89,Churned,Other,Moved
0236-HFWSV,Male,49,No,Palmdale,93552.00,15,None,Yes,48.93,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.35,1444.65,733.95,2178.60,Churned,Competitor,Competitor had better devices
0256-LTHVJ,Female,58,Yes,Ludlow,92338.00,28,Offer C,Yes,16.85,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,81.05,2227.10,471.80,2698.90,Churned,Competitor,Competitor had better devices
0257-ZESQC,Female,80,Yes,Perris,92571.00,27,None,Yes,7.02,No,Yes,Cable,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,75.20,1929.35,189.54,2118.89,Churned,Attitude,Attitude of support person
0259-GBZSH,Male,22,No,San Diego,92122.00,2,Offer E,Yes,40.43,Yes,Yes,Cable,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.65,181.50,80.86,262.36,Churned,Competitor,Competitor made better offer
0260-ZDLGK,Female,50,No,San Dimas,91773.00,9,None,Yes,35.49,No,Yes,Cable,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,72.90,651.40,319.41,970.81,Churned,Competitor,Competitor made better offer
0265-EDXBD,Male,76,Yes,San Diego,92122,32,Offer C,Yes,47.34,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,1514.88,3818.23,Churned,Attitude,Attitude of support person
0280-XJGEX,Male,38,No,Los Angeles,90015.00,49,None,Yes,44.33,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,103.70,5036.30,2172.17,7208.47,Churned,Competitor,Competitor had better devices
0295-PPHDO,Male,56,No,La Puente,91744.00,1,None,Yes,5.59,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,95.45,5.59,101.04,Churned,Competitor,Competitor had better devices
0302-JOIVN,Female,47,Yes,San Diego,92109.00,8,None,Yes,16.88,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,101.15,842.90,135.04,977.94,Churned,Competitor,Competitor made better offer
0306-JAELE,Male,61,No,Fallbrook,92028.00,5,None,Yes,31.09,No,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,96.10,453.40,155.45,608.85,Churned,Competitor,Competitor made better offer
0310-MVLET,Female,63,Yes,Snelling,95369.00,61,None,Yes,49.33,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.15,6010.05,3009.13,9019.18,Churned,Dissatisfaction,Service dissatisfaction
0311-UNPFF,Female,58,No,Long Beach,90807.00,26,None,Yes,38.09,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,88.80,2274.35,990.34,3314.69,Churned,Dissatisfaction,Service dissatisfaction
0318-QUUOB,Male,25,Yes,Santa Rosa,95403.00,1,None,Yes,43.67,No,Yes,Fiber Optic,No,No,No,No,Yes,No,Yes,No,Month-to-Month,Yes,Bank Withdrawal,80.55,80.55,43.67,124.22,Churned,Competitor,Competitor had better devices
0320-JDNQG,Male,28,Yes,Oxnard,93035.00,23,None,Yes,37.95,No,Yes,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,99.85,2331.30,872.85,3204.15,Churned,Other,Don't know
0322-CHQRU,Male,63,No,Palmdale,93591.00,2,None,Yes,25.49,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.35,89.50,50.98,140.48,Churned,Competitor,Competitor had better devices
0322-YINQP,Male,37,No,Covina,91723,1,None,Yes,11.35,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,48.55,48.55,11.35,59.9,Churned,Attitude,Attitude of support person
0324-BRPCJ,Female,74,Yes,Palmdale,93591.00,68,None,Yes,21.33,Yes,Yes,Cable,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.20,6851.65,1450.44,8302.09,Churned,Competitor,Competitor offered more data
0325-XBFAC,Male,44,No,Hoopa,95546.00,8,None,Yes,19.49,No,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94.70,740.30,155.92,976.22,Churned,Competitor,Competitor offered more data
0328-GRPMV,Female,43,No,Burnt Ranch,95527.00,1,None,Yes,17.37,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.10,70.10,17.37,87.47,Churned,Competitor,Competitor had better devices
0329-GTIAJ,Female,40,No,Garden Grove,92844.00,3,None,Yes,30.18,No,Yes,Fiber Optic,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,97.90,315.30,90.54,405.84,Churned,Price,Price too high
0330-IVZHA,Female,55,Yes,Anderson,96007.00,5,Offer E,Yes,17.08,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,69.95,330.15,85.40,415.55,Churned,Attitude,Attitude of service provider
0334-GDDSO,Male,77,No,San Diego,92122.00,3,Offer E,Yes,9.22,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.70,27.66,261.36,Churned,Competitor,Competitor made better offer
0337-CNPZE,Female,63,No,Los Angeles,90033.00,41,None,Yes,10.43,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,106.30,4443.45,427.63,5001.08,Churned,Price,Price too high
0345-HKJVM,Female,43,No,San Diego,92109.00,6,None,Yes,2.60,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,89.30,577.60,15.60,593.20,Churned,Other,Don't know
0348-SDKOL,Female,33,Yes,San Diego,92117.00,58,None,Yes,3.51,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Credit Card,102.10,5885.40,203.58,6188.98,Churned,Competitor,Competitor made better offer
0354-WYROK,Female,70,Yes,San Francisco,94130.00,31,Offer C,Yes,47.95,No,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.90,2911.30,1486.45,4397.75,Churned,Other,Don't know
0362-ZBZWJ,Male,46,No,Thornton,95686.00,36,None,Yes,24.66,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,84.90,3067.20,887.76,3954.96,Churned,Attitude,Attitude of service provider
0363-QJVFX,Male,22,No,Lake Hughes,93532.00,32,Offer C,Yes,27.69,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,108.15,3432.90,886.08,4318.98,Churned,Attitude,Attitude of service provider
0376-YMCJC,Male,21,No,Novato,94949.00,23,None,Yes,38.69,Yes,Yes,Cable,No,No,No,Yes,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,90.60,1943.20,889.87,2828.34,Churned,Competitor,Competitor offered higher download speeds
0378-NHQXU,Female,31,Yes,South San Francisco,94080.00,17,None,Yes,17.91,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,88.25,1460.65,304.47,1765.12,Churned,Other,Deceased
0378-TOVMS,Female,20,No,Vernalis,95385.00,3,None,Yes,10.60,No,Yes,Fiber Optic,No,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,85.80,272.20,31.80,304.00,Churned,Competitor,Competitor had better devices
0378-XSZPU,Male,31,Yes,San Jose,95117.00,58,Offer B,Yes,17.22,No,Yes,Cable,Yes,Yes,Yes,No,No,No,No,Yes,One Year,No,Credit Card,60.30,3563.80,998.76,4562.56,Churned,Dissatisfaction,Network reliability
0388-EOPEX,Female,28,Yes,Riverside,92503.00,2,None,Yes,9.79,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.40,139.40,19.58,158.98,Churned,Attitude,Attitude of support person
0390-DCFDQ,Female,76,Yes,Los Alamitos,90720.00,1,Offer E,Yes,15.28,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,15.28,85.73,Churned,Other,Don't know
0397-GZBBC,Male,70,Yes,South Dos Palos,93665.00,59,None,Yes,10.78,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.85,5574.75,636.02,6202.64,Churned,Price,Price too high
0402-CQAJN,Female,22,No,El Monte,91732.00,37,None,Yes,24.04,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101.90,3545.35,889.48,4434.83,Churned,Dissatisfaction,Lack of self-service on Website
0404-SWRVG,Male,21,No,La Habra,90631.00,3,Offer E,Yes,14.60,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74.40,229.55,43.80,264.61,Churned,Dissatisfaction,Product dissatisfaction
0406-BPDVR,Female,75,Yes,Visalia,93277.00,54,Offer B,Yes,33.49,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,101.50,5373.10,1808.46,7181.56,Churned,Price,Lack of affordable download/upload speed
0407-BDJKB,Male,59,Yes,San Francisco,94114.00,60,None,Yes,35.22,Yes,Yes,Fiber Optic,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.75,5742.90,2113.20,7856.10,Churned,Dissatisfaction,Service dissatisfaction
0415-MOSGF,Female,58,No,Los Gatos,95030,1,Offer E,Yes,26.53,No,Yes,DSL,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.4,44.4,26.53,70.93,Churned,Attitude,Attitude of support person
0431-APWVY,Female,37,Yes,Novato,94949.00,28,None,Yes,18.31,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,90.10,2598.95,512.68,3111.63,Churned,Dissatisfaction,Poor expertise of online support
0461-CVKMU,Female,45,Yes,Oak Run,96069.00,23,None,Yes,38.81,No,Yes,Fiber Optic,No,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,83.80,1900.25,892.63,2792.88,Churned,Attitude,Attitude of support person
0471-LVHGK,Male,34,Yes,Orangevale,95662.00,41,None,Yes,15.91,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,73.00,3001.20,652.31,3653.51,Churned,Competitor,Competitor offered higher download speeds
0475-RIJEP,Male,47,No,Pinecrest,95364,43,Offer B,Yes,49.13,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,77.85,3365.85,2112.59,5478.44,Churned,Price,Lack of affordable download/upload speed
0486-HECZI,Male,37,Yes,Torrance,90504.00,55,None,Yes,49.06,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.75,5238.90,2698.30,7937.20,Churned,Price,Long distance charges
0488-GSLFR,Female,41,No,Taylorsville,95983,1,None,Yes,8.31,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.5,69.5,8.31,77.81,Churned,Dissatisfaction,Product dissatisfaction
0495-RVCBF,Female,39,No,Santa Rosa,95401.00,1,None,Yes,33.88,No,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,79.70,79.70,33.88,113.58,Churned,Dissatisfaction,Poor expertise of online support
0504-HHAPI,Female,72,No,Guinda,95637.00,27,None,Yes,16.94,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,88.30,2467.75,457.38,2925.13,Churned,Other,Don't know
0506-LVNGN,Female,78,No,Rancho Cordova,95742.00,5,None,Yes,42.33,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,75.55,349.65,211.65,561.30,Churned,Competitor,Competitor had better devices
0511-JTEOY,Female,41,No,Canyon Dam,95923,1,Offer E,Yes,10.19,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,71.1,71.1,10.19,81.29,Churned,Competitor,Competitor made better offer
0515-YPMCW,Male,42,No,San Jose,95116.00,1,None,Yes,42.87,No,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Credit Card,70.45,70.45,42.87,123.32,Churned,Competitor,Competitor had better devices
0516-WJVXC,Female,21,No,Sacramento,95818.00,5,None,Yes,3.61,No,Yes,DSL,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,54.20,308.25,18.05,326.30,Churned,Dissatisfaction,Network reliability
0519-XUZJU,Female,56,No,Felton,95018.00,1,None,Yes,26.00,No,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,70.75,70.75,26.00,96.75,Churned,Dissatisfaction,Service dissatisfaction
0520-FDVVT,Male,26,No,Lewiston,96052.00,35,None,Yes,39.84,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,102.35,3626.10,1394.40,5020.50,Churned,Price,Price too high
0524-IAVZO,Female,25,Yes,Anza,92539.00,30,Offer C,Yes,4.82,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.00,2624.25,144.60,2768.85,Churned,Other,Don't know
0529-ONKER,Male,70,No,Forest Ranch,95942.00,15,Offer D,Yes,46.38,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,1146.65,695.70,1842.35,Churned,Attitude,Attitude of support person
0533-BNWKF,Female,66,Yes,San Diego,92122.00,55,Offer B,Yes,42.82,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.70,2355.10,7319.80,Churned,Competitor,Competitor made better offer
0564-JJHGS,Male,45,No,Guerneville,95446.00,9,None,Yes,19.22,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.50,829.10,172.98,1002.08,Churned,Dissatisfaction,Limited range of services
0565-IYCGT,Male,51,No,San Diego,92117.00,69,Offer A,Yes,29.38,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,78.60,5356.45,2027.22,7383.67,Churned,Competitor,Competitor made better offer
0576-WNXXC,Male,70,Yes,Parlier,93648.00,27,None,Yes,39.49,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95.55,2510.20,1066.23,3576.43,Churned,Dissatisfaction,Service dissatisfaction
0578-SKVMF,Female,23,Yes,Seeley,92273.00,22,None,Yes,4.01,No,Yes,Cable,No,Yes,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,83.30,1845.90,88.22,1934.12,Churned,Competitor,Competitor had better devices
0587-DMGBH,Female,48,No,Willows,95988.00,8,None,Yes,37.79,No,Yes,Cable,Yes,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,49.85,365.55,302.32,664.86,Churned,Competitor,Competitor offered higher download speeds
0596-BQCEQ,Female,32,Yes,Hydesville,95547.00,62,None,Yes,48.58,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100.15,6283.30,3011.96,9295.26,Churned,Competitor,Competitor had better devices
0611-DFXKO,Male,35,Yes,Comptche,95427.00,20,Offer D,Yes,18.05,No,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,89.00,1820.45,361.00,2181.45,Churned,Dissatisfaction,Service dissatisfaction
0617-FHSGK,Male,62,No,Rancho Cordova,95670.00,49,None,Yes,19.08,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,No,Month-to-Month,No,Credit Card,75.20,3678.30,934.92,4633.22,Churned,Price,Extra data charges
0618-XWMSS,Male,60,No,Wasco,93280.00,28,Offer C,Yes,44.28,No,Yes,Fiber Optic,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.90,2068.55,1239.84,3308.39,Churned,Price,Long distance charges
0621-TWIEM,Male,28,No,Newhall,91321.00,10,Offer D,Yes,34.44,No,Yes,Cable,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,45.55,402.60,344.40,747.00,Churned,Attitude,Attitude of support person
0628-CNQRM,Male,49,Yes,Temecula,92592.00,22,None,Yes,19.80,No,Yes,Cable,Yes,No,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,67.50,1544.05,435.60,1979.65,Churned,Other,Don't know
0634-SZPQA,Female,64,No,San Anselmo,94960.00,23,None,Yes,3.55,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90.05,2169.80,81.65,2224.07,Churned,Competitor,Competitor offered higher download speeds
0637-KVDLV,Male,30,No,Elk Grove,95758.00,2,Offer E,Yes,17.22,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.50,162.45,34.44,196.89,Churned,Other,Don't know
0637-UBJRP,Male,40,Yes,Wilton,95693.00,13,Offer D,Yes,29.92,No,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,84.05,1095.30,388.96,1460.29,Churned,Competitor,Competitor offered higher download speeds
0637-YLETY,Female,39,No,Douglas City,96024.00,16,Offer D,Yes,18.99,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,95.60,1555.65,303.84,1859.49,Churned,Attitude,Attitude of service provider
0639-TSIQW,Female,28,No,White Water,92282.00,67,Offer A,Yes,37.50,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,102.95,6886.25,2512.50,9398.75,Churned,Competitor,Competitor offered more data
